
儿歌,#genre#
小白兔白又白,http://ykugc.cp31.ott.cibntv.net:80/657244C44594571CFEA482368/03000A01005F04364A89749078634940BE8E6E-2BD0-444A-8069-74ED91BC1003.mp4
小兔乖乖,http://bd.ergecdn.com:80/bb/videos/048/92dac14066/343703689.mp4
小白兔白又白,http://bd.ergecdn.com:80/bb/video/10000048/343709033.mp4
小星星,http://ykugc.cp31.ott.cibntv.net:80/69752AA851B38717739922C29/03000A01005FED22E92F21E0BAB2861788D32D-62F5-4C69-A51E-CDEA38C013CD.mp4
拔萝卜,http://bd.ergecdn.com:80/bb/video/10000048/343704730.mp4
捉泥鳅,http://bd.ergecdn.com:80/bb/videos/048/92dac14066/343704729.mp4
大王叫我来巡山,http://bd.ergecdn.com:80/bb/videos/048/92dac14066/343684003.mp4
高安+纳兰珠儿|花桥流水,http://em.21dtv.com/songs/60006910.mkv




蚂蟥养殖,#genre#
蚂蟥养殖1,https://hls.cntv.kcdnvip.com:443/asp/hls/2000/0303000a/3/default/7b015112472c4132b90421c2d2b1ea13/2000.m3u8
蚂蟥养殖2,https://hls.cntv.kcdnvip.com:443/asp/hls/2000/0303000a/3/default/3e4ec20e2d7047f287a4213372e3a141/2000.m3u8
蚂蟥教授,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/6aeadbf7a9ed46d8b5af9f0f96a75124/850.m3u8
致富吸血虫,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/cb57d8594fff4653dfddc6a873ce78c4/850.m3u8
泥塘里的吸血宝贝,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/36e52b06c1704c74dd748aa1fc26f8e2/850.m3u8
蚂蝗的秘密,https://hls.cntv.kcdnvip.com:443/asp/hls/850/0303000a/3/default/9ca83cac4bed47a88b3cdf8cda6ebed2/850.m3u8






央视卫视,#genre#
老电影,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8#https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc/live_97065163_17925468.m3u8
林正英1,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc//992495/live_22989278_9714011.m3u8#https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc//422937/live_22989278_9714011_1500.m3u8
林正英2,https://cn-jswx2-cmcc-live-01.bilivideo.com/live-bvc//500112/live_381718124_59580738.m3u8
斗鱼电影1,http://tx2play1.douyucdn.cn/live/20415rnWbjg6Ex1K.xs
斗鱼电影2,http://tx2play1.douyucdn.cn/live/122402rK7MO9bXSq_8000p.flv
猫和老鼠,http://tx2play1.douyucdn.cn/live/7528160r2CckEyHA.xs

CHC高清电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC高清电影,http://www.yeyuhome.online:4000/udp/239.253.254.154:8000#http://sdwhzzr.i234.me:4022/udp/239.253.230.154:8000

CHC动作电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作电影,http://www.yeyuhome.online:4000/udp/239.253.254.153:8000#http://sdwhzzr.i234.me:4022/udp/239.253.230.153:8000

CHC家庭影院,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭影院,http://www.yeyuhome.online:4000/udp/239.253.254.152:8000#http://sdwhzzr.i234.me:4022/udp/239.253.230.152:8000

CHC高清电影,http://[2001:250:5405:13::47]/hls/hls260.m3u8
CHC家庭影院,http://[2001:250:5405:13::47]/hls/hls259.m3u8
CHC动作电影,http://[2001:250:5405:13::47]/hls/hls261.m3u8
大众影视,http://[2001:250:5405:13::47]/hls/hls75a27.m3u8
家庭影院,http://[2001:250:5405:13::47]/hls/hls75a29.m3u8
家庭剧场,http://[2001:250:5405:13::47]/hls/hls75a28.m3u8
卡通剧场,http://[2001:250:5405:13::47]/hls/hls77a30.m3u8

欢笑剧场4K,http://111.20.105.60:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
欢笑剧场4K,http://117.148.130.102/PLTV/88888888/224/3221230739/index.m3u8
欢笑剧场4K,http://223.111.204.154/gitv_live/HD-15M-2160P-jshuanxiaojc/HD-15M-2160P-jshuanxiaojc.m3u8
欢笑剧场4K,http://39.134.39.24/PLTV/88888888/224/3221226318/index.m3u8
爱上4K,http://111.20.105.60:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
爱上4K,http://39.134.24.24/PLTV/88888888/224/3221226005/index.m3u8
爱上4K,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
爱上4K,http://daole.f3322.org:8888/udp/235.254.198.102:7980
爱上4K,http://www.yeyuhome.online:4000/udp/239.253.254.102:8000
北京4K电影,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226550/1.m3u8
北京4K电影,http://221.179.217.94/PLTV/88888888/224/3221226550/1.m3u8
冬奥纪实4K,http://221.179.217.94/PLTV/88888888/224/3221226563/1.m3u8#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226564/1.m3u8


CCTV4K,http://112.17.40.12/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://112.17.40.13/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://112.17.40.134/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://112.17.40.135/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.26/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.27/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.34/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.35/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.40/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.41/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.56/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.56:80/PLTV/88888888/224/3221226758/1.m3u8
CCTV4K,http://117.148.187.57/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
CCTV4K,http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/index.m3u8?fmt=ts2hls
CCTV4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
CCTV4K,http://117.148.187.56:80/PLTV/88888888/224/3221226758/1.m3u8
CCTV4K,http://[2001:250:5405:13::47]/PLTV/88888888/224/3221226758/1.m3u8

CCTV1,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8
CCTV1,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8
CCTV2,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV2,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/1.m3u8
CCTV3,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV4,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8
CCTV5,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8
CCTV5+,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226349/1.m3u8
CCTV5+,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226458/1.m3u8
CCTV6,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8
CCTV7,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226467/1.m3u8
CCTV8,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8
CCTV9,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226465/1.m3u8
CCTV10,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226227/1.m3u8
CCTV10,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/1.m3u8
CCTV11,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226463/1.m3u8
CCTV12,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226462/1.m3u8
CCTV13,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/1.m3u8
CCTV14,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226461/1.m3u8
CCTV15,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226460/1.m3u8
CCTV17,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226459/1.m3u8
CETV-1,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226494/1.m3u8

CCTV1,http://[2001:250:5405:13::47]/hls/hls74a1.m3u8
CCTV2,http://[2001:250:5405:13::47]/hls/hls74a2.m3u8
CCTV3,http://[2001:250:5405:13::47]/hls/hls74a3.m3u8
CCTV4,http://[2001:250:5405:13::47]/hls/hls74a4.m3u8
CCTV5,http://[2001:250:5405:13::47]/hls/hls73a5.m3u8
CCTV5+,http://[2001:250:5405:13::47]/hls/hls73a6.m3u8
CCTV6,http://[2001:250:5405:13::47]/hls/jlu_cctv6hd.m3u8
CCTV7,http://[2001:250:5405:13::47]/hls/hls73a8.m3u8
CCTV8,http://[2001:250:5405:13::47]/hls/hls72a9.m3u8
CCTV9,http://[2001:250:5405:13::47]/hls/hls72a10.m3u8
CCTV10,http://[2001:250:5405:13::47]/hls/hls72a11.m3u8
CCTV11,http://[2001:250:5405:13::47]/hls/hls186a11.m3u8
CCTV12,http://[2001:250:5405:13::47]/hls/hls72a12.m3u8
CCTV13,http://[2001:250:5405:13::47]/hls/hls186a13.m3u8
CCTV14,http://[2001:250:5405:13::47]/hls/hls71a13.m3u8
CCTV15,http://[2001:250:5405:13::47]/hls/hls186a15.m3u8
CCTV17,http://[2001:250:5405:13::47]/hls/hls185a17.m3u8
CETV-1,http://[2001:250:5405:13::47]/hls/hls67a45.m3u8
CGTN,http://[2001:250:5405:13::47]/hls/hls185a571.m3u8
CGTN,http://[2001:250:5405:13::47]/hls/hls67a44.m3u8

CCTV1,http://223.110.243.138/PLTV/1/224/3221227467/index.m3u8
CCTV1,http://223.110.245.138/PLTV/1/224/3221227467/index.m3u8
CCTV2,http://223.110.243.135/PLTV/1/224/3221227543/index.m3u8
CCTV2,http://183.207.249.36/PLTV/1/224/3221227543/index.m3u8
CCTV3,http://223.110.245.136/PLTV/1/224/3221227546/index.m3u8
CCTV4,http://223.110.245.138/PLTV/1/224/3221227549/index.m3u8
CCTV5,http://223.110.243.136/PLTV/4/224/3221227537/index.m3u8
CCTV5,http://183.207.249.34/PLTV/4/224/3221227537/index.m3u8
CCTV5+,http://223.110.243.136/PLTV/1/224/3221227502/index.m3u8
CCTV5+,http://223.110.245.168/PLTV/1/224/3221227502/index.m3u8
CCTV6,http://223.110.245.135/PLTV/1/224/3221227505/index.m3u8
CCTV6,http://223.110.243.138/PLTV/1/224/3221227505/index.m3u8

CCTV1,http://223.110.241.206:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ
CCTV2,http://223.110.241.206:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ
CCTV3,http://223.110.241.206:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ
CCTV4,http://223.110.241.206:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ
CCTV5,http://223.110.241.206:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ
CCTV6,http://223.110.241.206:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ
CCTV7,http://223.110.241.206:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ
CCTV8,http://223.110.241.206:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ
CCTV13,http://223.110.241.206:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ

CCTV8,http://223.110.243.135/PLTV/1/224/3221227473/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://117.169.120.141:8080/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
CCTV13,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-13/1.m3u8
CCTV15,http://101.71.255.229:6610/zjhs/2/10088/index.m3u8?virtualDomain=zjhs.live_hls.zte.com


CCTV1,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-1-MD
CCTV2,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-2-MD
CCTV3,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-3-MD
CCTV4,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-4-MD
CCTV5,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-5-MD
CCTV5+,http://183.207.248.71/cntv/live1/PUSSY/G_CCTV-5PLUS-MD
CCTV6,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-6-MD
CCTV8,http://183.207.248.71:80/cntv/live1/PUSSY/G_CCTV-8-MD

CCTV1,http://223.111.204.154/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8
CCTV2,http://223.111.204.154/gitv_live/G_CCTV-2-HD/G_CCTV-2-HD.m3u8
CCTV3,http://223.111.204.154/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
CCTV4,http://223.111.204.154/gitv_live/G_CCTV-4-HQ/G_CCTV-4-HQ.m3u8
CCTV5,http://223.111.204.154/gitv_live/G_CCTV-5-HQ/G_CCTV-5-HQ.m3u8
CCTV5+,http://223.111.204.154/gitv_live/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ.m3u8
CCTV6,http://223.111.204.154/gitv_live/G_CCTV-6-HQ/G_CCTV-6-HQ.m3u8
CCTV7,http://223.111.204.154/gitv_live/G_CCTV-7-HQ/G_CCTV-7-HQ.m3u8
CCTV8,http://223.111.204.154/gitv_live/G_CCTV-8-HQ/G_CCTV-8-HQ.m3u8
CCTV10,http://223.111.204.154/gitv_live/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8
CCTV17,http://223.111.204.154/gitv_live/G_CCTV-17-HD/G_CCTV-17-HD.m3u8


CCTV3,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV8,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8
CCTV1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV4,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV5,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8
CCTV3,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227424/index.m3u8
CCTV1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227462/index.m3u8
CCTV1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227467/index.m3u8
CCTV4,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227489/index.m3u8
CCTV3,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227623/index.m3u8
CCTV1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227634/index.m3u8
CCTV5,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227640/index.m3u8
CCTV1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227641/index.m3u8
CCTV1,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV15,http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227723/index.m3u8


CCTV1,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV2,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV4,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226803/index.m3u8
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/index.m3u8
CCTV9,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8
CCTV11,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
CCTV13,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV15,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8
